,sub,harm,cs,node_num,dof_num,PoM,NL,KC
0,sub,0,c,0,0,p,1,0
1,sub,0,c,1,0,p,1,0
2,sub,1,c,0,0,p,1,0
3,sub,1,c,1,0,p,1,0
4,sub,1,s,0,0,p,1,0
5,sub,1,s,1,0,p,1,0
6,sub,3,c,0,0,p,1,0
7,sub,3,c,1,0,p,1,0
8,sub,3,s,0,0,p,1,0
9,sub,3,s,1,0,p,1,0
10,sub,5,c,0,0,p,1,0
11,sub,5,c,1,0,p,1,0
12,sub,5,s,0,0,p,1,0
13,sub,5,s,1,0,p,1,0
14,sub,7,c,0,0,p,1,0
15,sub,7,c,1,0,p,1,0
16,sub,7,s,0,0,p,1,0
17,sub,7,s,1,0,p,1,0
18,sub,9,c,0,0,p,1,0
19,sub,9,c,1,0,p,1,0
20,sub,9,s,0,0,p,1,0
21,sub,9,s,1,0,p,1,0
22,sub,11,c,0,0,p,1,0
23,sub,11,c,1,0,p,1,0
24,sub,11,s,0,0,p,1,0
25,sub,11,s,1,0,p,1,0
26,sub,13,c,0,0,p,1,0
27,sub,13,c,1,0,p,1,0
28,sub,13,s,0,0,p,1,0
29,sub,13,s,1,0,p,1,0
30,sub,15,c,0,0,p,1,0
31,sub,15,c,1,0,p,1,0
32,sub,15,s,0,0,p,1,0
33,sub,15,s,1,0,p,1,0
34,sub,17,c,0,0,p,1,0
35,sub,17,c,1,0,p,1,0
36,sub,17,s,0,0,p,1,0
37,sub,17,s,1,0,p,1,0
38,sub,19,c,0,0,p,1,0
39,sub,19,c,1,0,p,1,0
40,sub,19,s,0,0,p,1,0
41,sub,19,s,1,0,p,1,0
42,sub,21,c,0,0,p,1,0
43,sub,21,c,1,0,p,1,0
44,sub,21,s,0,0,p,1,0
45,sub,21,s,1,0,p,1,0
46,sub,23,c,0,0,p,1,0
47,sub,23,c,1,0,p,1,0
48,sub,23,s,0,0,p,1,0
49,sub,23,s,1,0,p,1,0
50,sub,25,c,0,0,p,1,0
51,sub,25,c,1,0,p,1,0
52,sub,25,s,0,0,p,1,0
53,sub,25,s,1,0,p,1,0
54,sub,27,c,0,0,p,1,0
55,sub,27,c,1,0,p,1,0
56,sub,27,s,0,0,p,1,0
57,sub,27,s,1,0,p,1,0
58,sub,29,c,0,0,p,1,0
59,sub,29,c,1,0,p,1,0
60,sub,29,s,0,0,p,1,0
61,sub,29,s,1,0,p,1,0
62,sub,31,c,0,0,p,1,0
63,sub,31,c,1,0,p,1,0
64,sub,31,s,0,0,p,1,0
65,sub,31,s,1,0,p,1,0
66,sub,33,c,0,0,p,1,0
67,sub,33,c,1,0,p,1,0
68,sub,33,s,0,0,p,1,0
69,sub,33,s,1,0,p,1,0
70,sub,35,c,0,0,p,1,0
71,sub,35,c,1,0,p,1,0
72,sub,35,s,0,0,p,1,0
73,sub,35,s,1,0,p,1,0
74,sub,37,c,0,0,p,1,0
75,sub,37,c,1,0,p,1,0
76,sub,37,s,0,0,p,1,0
77,sub,37,s,1,0,p,1,0
78,sub,39,c,0,0,p,1,0
79,sub,39,c,1,0,p,1,0
80,sub,39,s,0,0,p,1,0
81,sub,39,s,1,0,p,1,0
82,sub,41,c,0,0,p,1,0
83,sub,41,c,1,0,p,1,0
84,sub,41,s,0,0,p,1,0
85,sub,41,s,1,0,p,1,0
86,sub,43,c,0,0,p,1,0
87,sub,43,c,1,0,p,1,0
88,sub,43,s,0,0,p,1,0
89,sub,43,s,1,0,p,1,0
90,sub,45,c,0,0,p,1,0
91,sub,45,c,1,0,p,1,0
92,sub,45,s,0,0,p,1,0
93,sub,45,s,1,0,p,1,0
94,sub,47,c,0,0,p,1,0
95,sub,47,c,1,0,p,1,0
96,sub,47,s,0,0,p,1,0
97,sub,47,s,1,0,p,1,0
98,sub,49,c,0,0,p,1,0
99,sub,49,c,1,0,p,1,0
100,sub,49,s,0,0,p,1,0
101,sub,49,s,1,0,p,1,0
102,sub,51,c,0,0,p,1,0
103,sub,51,c,1,0,p,1,0
104,sub,51,s,0,0,p,1,0
105,sub,51,s,1,0,p,1,0
106,sub,53,c,0,0,p,1,0
107,sub,53,c,1,0,p,1,0
108,sub,53,s,0,0,p,1,0
109,sub,53,s,1,0,p,1,0
110,sub,55,c,0,0,p,1,0
111,sub,55,c,1,0,p,1,0
112,sub,55,s,0,0,p,1,0
113,sub,55,s,1,0,p,1,0
114,sub,57,c,0,0,p,1,0
115,sub,57,c,1,0,p,1,0
116,sub,57,s,0,0,p,1,0
117,sub,57,s,1,0,p,1,0
118,sub,59,c,0,0,p,1,0
119,sub,59,c,1,0,p,1,0
120,sub,59,s,0,0,p,1,0
121,sub,59,s,1,0,p,1,0
