,sub,harm,cs,node_num,dof_num,PoM,NL,KC
0,sub,0,c,0,0,p,0,0
1,sub,0,c,1,0,p,0,0
2,sub,0,c,2,0,p,0,0
3,sub,0,c,3,0,p,0,0
4,sub,0,c,4,0,p,0,0
5,sub,0,c,5,0,p,0,0
6,sub,0,c,6,0,p,0,0
7,sub,0,c,7,0,p,0,0
8,sub,0,c,8,0,p,0,0
9,sub,0,c,9,0,p,0,0
10,sub,0,c,10,0,p,0,0
11,sub,0,c,11,0,p,0,0
12,sub,0,c,12,0,p,0,0
13,sub,0,c,13,0,p,0,0
14,sub,0,c,14,0,p,0,0
15,sub,0,c,15,0,p,0,0
16,sub,0,c,16,0,p,0,0
17,sub,0,c,17,0,p,0,0
18,sub,0,c,18,0,p,0,0
19,sub,0,c,19,0,p,0,0
20,sub,0,c,20,0,p,0,0
21,sub,0,c,21,0,p,0,0
22,sub,0,c,22,0,p,0,0
23,sub,0,c,23,0,p,0,0
24,sub,0,c,24,0,p,0,0
25,sub,1,c,0,0,p,0,0
26,sub,1,c,1,0,p,0,0
27,sub,1,c,2,0,p,0,0
28,sub,1,c,3,0,p,0,0
29,sub,1,c,4,0,p,0,0
30,sub,1,c,5,0,p,0,0
31,sub,1,c,6,0,p,0,0
32,sub,1,c,7,0,p,0,0
33,sub,1,c,8,0,p,0,0
34,sub,1,c,9,0,p,0,0
35,sub,1,c,10,0,p,0,0
36,sub,1,c,11,0,p,0,0
37,sub,1,c,12,0,p,0,0
38,sub,1,c,13,0,p,0,0
39,sub,1,c,14,0,p,0,0
40,sub,1,c,15,0,p,0,0
41,sub,1,c,16,0,p,0,0
42,sub,1,c,17,0,p,0,0
43,sub,1,c,18,0,p,0,0
44,sub,1,c,19,0,p,0,0
45,sub,1,c,20,0,p,0,0
46,sub,1,c,21,0,p,0,0
47,sub,1,c,22,0,p,0,0
48,sub,1,c,23,0,p,0,0
49,sub,1,c,24,0,p,0,0
50,sub,1,s,0,0,p,0,0
51,sub,1,s,1,0,p,0,0
52,sub,1,s,2,0,p,0,0
53,sub,1,s,3,0,p,0,0
54,sub,1,s,4,0,p,0,0
55,sub,1,s,5,0,p,0,0
56,sub,1,s,6,0,p,0,0
57,sub,1,s,7,0,p,0,0
58,sub,1,s,8,0,p,0,0
59,sub,1,s,9,0,p,0,0
60,sub,1,s,10,0,p,0,0
61,sub,1,s,11,0,p,0,0
62,sub,1,s,12,0,p,0,0
63,sub,1,s,13,0,p,0,0
64,sub,1,s,14,0,p,0,0
65,sub,1,s,15,0,p,0,0
66,sub,1,s,16,0,p,0,0
67,sub,1,s,17,0,p,0,0
68,sub,1,s,18,0,p,0,0
69,sub,1,s,19,0,p,0,0
70,sub,1,s,20,0,p,0,0
71,sub,1,s,21,0,p,0,0
72,sub,1,s,22,0,p,0,0
73,sub,1,s,23,0,p,0,0
74,sub,1,s,24,0,p,0,0
